h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1990. január 20 - 1990. február 10.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,YouTube beágyazás link,Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=CONCATENATE(Q3, "" - "", R3, "" - "", U3)","Michael Bolton dala Grammy-díjat ért 1990-ben, a How Am I Supposed to Live Without You videóklippre még ma is sokan emlékeznek.","Az 1989-es How Am I Supposed to Live Without You Michael Bolton nagy dobása volt, 1990. január 20-tól 3 héten át tanyázott a Billboard 100-as listáján, és még a szigorúbb britek 40-es listáján is a 3. helyig verekedte magát, a németeknél viszont csak a 15. helyig jutott.  Később számtalan tévésorozatban is felhasználták a dalt.",How Am I Supposed to Live Without You a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-01-20"",""Billboard Hot 100 (USA) - 1., 1990. január 20 - 1990. február 10."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/how-am-i-supposed-to-live-without-you/"",""Official Charts (UK) - 3., 1990. február 17."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-12176"",""Offizielle Deutsche Charts (DE) - 15., 1990. március 12."")",Michael Bolton - How Am I Supposed to Live Without You videóklip a YouTube oldalán,https://www.youtube.com/watch?v=YFood_bTOX4,https://youtu.be/YFood_bTOX4,2019. július 25-én,"110,108,424 megtekintés",431K like,17K dislike,17 948 komment,Michael Bolton - How Am I Supposed to Live Without You című dalának adatai,How Am I Supposed to Live Without You,Michael Bolton,Soul Provider,Pop,1989,"Grammy-díj - Legjobb férfi popénekes teljesítmény kategóriában, 1990",Tudj meg még többet Michael Bolton How Am I Supposed to Live Without You című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/How_Am_I_Supposed_to_Live_Without_You"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/5404588"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5Vv7ZpPJK3g53DqeDl0Ijv"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5qcgxoviacuh7sur5hmnity4se?play=1&u=0"",""Google Play"")",Michael Bolton How Am I Supposed to Live Without You dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/michaelbolton/howamisupposedtolivewithoutyou.html"",""Michael Bolton How Am I Supposed to Live Without You dalszöveg"")"
"=CONCATENATE(Q4, "" - "", R4, "" - "", U4)",Paula Abdul Opposite Attract című 1990-es dala 3 hétig volt a Billboard Hot 100-as listán.,"Az Opposites Attract az album hatodik és egyben utolsó kislemeze, mely három hétig vezette a Billboard Hot 100-as listát. ",Opposites Attract a zeneti listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-02-10"",""Billboard Hot 100 (USA) - 1., 1990. február 10. - 1990. március 3."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/opposites-attract/"",""Official Charts (UK) - 3., 1990. április 7"")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2088"",""Offizielle Deutsche Charts (DE) - 14., 1990. március 5."")",Paula Abdul - Opposites Attract videóklip a Youtube oldalán,https://www.youtube.com/watch?v=xweiQukBM_k,https://youtu.be/xweiQukBM_k,2019. augusztus 08-án,"172,870,70 megtekintés",111K like,3.5K dislike,9052 komment,Paula Abdul - Opposites Attract című dalának adatai,Opposites Attract,Paula Abdul,Forever Your Girl,Pop,1988,Grammy Award legjobb zenés videó,Tudj meg még többet Paula Abdul Opposites attract című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Opposites_Attract"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/en/track/3312583"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/artist/5GDoopPkYIKVZxGP5QKE7H"",""Spotify"")","=HYPERLINK(""https://play.google.com/store/music/album?id=Bsll4cdaa5ja5d6mi2tz54deg6a&tid=song-Ttwteg67tgqa27hytg6ogysbshu&hl=en"",""Google Play"")",Paula Abdul & The Wild Pair Opposites Attract dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/paulaabdul/oppositesattract.html"",""Paula Abdul & The Wild Pair Opposites Attract dalszöveg"")"
"=CONCATENATE(Q5, "" - "", R5, "" - "", U5)",Janet Jackson Escapade című dala számos más művészt megihletett a dal pozitivitásának köszönhetően. Később a BMI Pop Award-ot a Legjobban játszott dalért járó elismerést is bezsebelte. A Billboard listát egészen három hétig vezette. ,"Janet Jackson Escapade című száma a Billboard 100-as listáján egészen 1990. március 3-tól 1990. március 24-ig az első helyen vezetett. Érdekesség, hogy a dalt részben Martha és a Vandellas 1965-ös  Nowhere to Run  dala ihlette. ",Escapade a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-03-03"",""Billboard Hot 100 (USA) - 1., 1990. március 3 - 1990. március 24)"")",-,-,Janet Jackson - Escapade videóklip a YouTube oldalán,https://www.youtube.com/watch?v=UFX3gQHIroU,https://youtu.be/UFX3gQHIroU,2019. augusztus 13-án,"11,928,329 megtekintés",58K like,2.1K dislike,"3,915 komment",Janet Jackson - Escapade című dalának adatai,Escapade,Janet Jackson,Janet Jackson's Rhythm Nation 1814,"Contemporary R&B, Pop",1989,BMI Pop Award,Tudj meg még többet Janet Jackson Escapade daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Escapade_(song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/6575395?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/7jtBAkD6DL5yn7komrFTxE"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ts3r6yaqgxvl2abvviy66nibb2m?play=1&u=0"",""Google Play"")",Janet Jackson Escapade dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/janetjackson/escapade.html"",""Janet Jackson Escapade dalszöveg"")"
"=CONCATENATE(Q6, "" - "", R6, "" - "", U6)","Alannah Myles 1989-es Black Velvet című dala rögtön 2 jelölést is kapott az MTV Awardson, a legjobb új előadóért és a legjobb női videóért. ","A Black Velvet című dal előadójának, Alannah Myles-nak a hangjáról valóban a bársony jut eszébe a hallgatónak. Az MTV rögtön 2 kategóriában is jelölte, és mióta a YouTube-ra is felkerült a videóklip, több tízmilliós nézettséget ért el.",Black Velvet a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-03-24"",""Billboard Hot 100 (USA) - 1., 1990. március 24. - 1990. április 7. "")","=HYPERLINK(""https://www.officialcharts.com/search/singles/black-velvet/"",""Official Charts (UK) - 2., 1990. március 10."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2109"",""Offizielle Deutsche Charts (DE) 2., 1990. április 9. "")",Alannah Myles Black Velvet című dala a YouTube oldalán,https://www.youtube.com/watch?v=tT4d1LQy4es,https://youtu.be/tT4d1LQy4es,2019. augusztus 9-én,"55,428,692 megtekintés",362K like,12K dislike,"9,193 komment",Alannah Myles Black Velvet című dalának adatai,Black Velvet,Alannah Myles,Alannah Myles,Rock,1989,"Jelölések: MTV Video Music Award a legjobb új előadónak, MTV Video Music Award a legjobb női videóért",Tudj meg még többet Alannah Myles Black Velvet című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Black_Velvet_(song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/145283510?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/track/36OhWMoZxyTgjUWw3T98Cy?autoplay=true&v=T"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Til3fjrwm3w5xdaax5me2x7wwfu?play=1&u=0"",""Google Play"")",Alannah Myles Black Velvet dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/alannahmyles/blackvelvet.html"",""Alannah Myles Black Velvet dalszöveg"")"
"=CONCATENATE(Q7, "" - "", R7, "" - "", U7)","Taylor Dayne 1989-ban debütált Love Will Lead You Back slágere jelenleg több tízmilliós megtekintésnek örvend a YouTube-on, és mind a mai napig a 90-es évek romantikus számai etalonjának számít. ","A Love Will Lead You Back Taylor Dayne-szám emlékezetes, fekete-fehér videóklippjének szépia árnyalata örökre az MTV-rajongók retinájára égett. ",Love Will Lead You Back a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-04-07"",""Billboard Hot 100 (USA) - 1., 1990. április 7. - 1990. április 14."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/love-will-lead-you-back/"",""Official Charts (UK) - 69., 1990. július 28"")",-,Taylor Dayne Love Will Lead You Back című dala a YouTube oldalán,https://www.youtube.com/watch?v=MO6xhLtfwW0,https://youtu.be/MO6xhLtfwW0,2019. augusztus 12-én,"30,974,331 megtekintés",156K like,5.6K dislike,"8,732 komment",Taylor Dayne - Love Will Lead You Back című dalának adatai,Love Will Lead You Back,Taylor Dayne,Can't Fight Fate,Pop,1989,-,Tudj meg még többet Taylor Dayne Love Will Lead You Back című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Love_Will_Lead_You_Back"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/68090131?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1wSk4NvNUF3BB9jju2S6Qk"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T26hwpvqw67mumr7zjr47zqoy4e?play=1&u=0"",""Google Play"")",Taylor Dayne Love Will Lead You Back dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/taylordayne/lovewillleadyouback.html"",""Taylor Dayne Love Will Lead You Back dalszöveg"")"
"=CONCATENATE(Q8, "" - "", R8, "" - "", U8)",Tommy Page I'll Be Your Everything című dala 2 New Kids on the Block előadóval együtt készült 1990-ben. ,Az 1990-es I'll Be Your Everything 2 New Kids on the Block előadó közreműködésével jutott el a Billboard Hot 100 élére,I'll Be Your Everything a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-04-14"",""Billboard Hot 100 (USA) - 1.,"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/i'll-be-your-everything/"",""Official Charts (UK) - 53., 1990. május 26."")",-,Tommy Page I'll Be Your Everything a YouTube oldalán,https://www.youtube.com/watch?v=rTki_oqDLqk,https://youtu.be/rTki_oqDLqk,2019. augusztus 13-án,"3,475,625 megtekintés",9.5K like,675K dislike,"1,735 komment",Tommy Page - I'll Be Your Everything című dalának adatai,I'll Be Your Everything,Tommy Page,Paintings in My Mind,Pop,1990,-,Tudj meg még többet Tommy Page I'll Be Your Everything című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/I%27ll_Be_Your_Everything_(Tommy_Page_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/7790022?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6nTtN4mMMCLkn5jF1wfRWf"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tqocdtu77rtdifspyirkk3q6z2e?play=1&u=0"",""Google Play"")",Tommy PageI'll Be Your Everything dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/tommypage/illbeyoureverything.html"",""Tommy PageI'll Be Your Everything dalszöveg"")"
"=CONCATENATE(Q9, "" - "", R9, "" - "", U9)","Az 1990-es évek abszolút slágere, kétségtelenül Sinéad O'Connor  Nothing Compares 2U című számához kötődik. ","Nemzetközi sikereknek örvendő, Sinéad O'Connor  Nothing Compares 2U című száma nem csak a Billboard 100-as listáját hódította meg több héten keresztül, de a nemzetközi listákon előkelő helyen szerepelt. Érdekesség, hogy Sinéad O'Connor a dalt Nellee Hooper -rel közösen készítette.", Nothing Compares a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-04-21"",""Billboard Hot 100 (USA) - 1.,1990. április 21 - 1990. május 19"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/nothing-compares-2-u/"",""Official Charts (UK) - 1., 1990. január 20"")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2075"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 1., 1990. február 19. "")",Sinéad O'Connor Nothing Compares 2U a Youtube oldalán,https://www.youtube.com/watch?v=0-EF60neguk,https://youtu.be/0-EF60neguk,2019. augusztus 13-án,"153,380,975 megtekintés",725K like,46K dislike,"34,209 komment",Sinéad O'Connor Nothing Compares 2U című dalának adatai,Nothing Compares 2U   ,Sinéad O'Connor, I Do Not Want What I Haven't Got,Pop,1990,-,Tudj meg még többet Sinéad O'Connor  Nothing Compares 2U című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Nothing_Compares_2_U"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/462191492?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/search/results/Nothing%20Compares%202%20U%20%20%20Sin%C3%A9ad%20O'Connor"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T64yv6tmi7z2hgaxaknhnjs77vy?play=1&u=0"",""Google Play"")",Sinéad O'Connor Nothing Compares 2U dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/sineadoconnor/nothingcompares2u.html"",""Sinéad O'Connor  Nothing Compares 2U dalszöveg"")"
"=CONCATENATE(Q10, "" - "", R10, "" - "", U10)","Madonna Vogue című száma, I'm Breathless album első kislemezeként, 1990. március 27-én jelent meg. Számos díjat zsebelt be rendezése és szerkesztése révén. ","A Vogue zenei videója, David Fincher rendezte, fekete-fehérben készült, főként az 1920-as és 1930-as évekből inspirálódik.Kereskedelmi szempontból a dal,Madonna legnagyobb nemzetközi slágereinek számít. Több mint 30 országban, például Ausztráliában, Kanadában, Japánban, az Egyesült Királyságban és az Egyesült Államokban szerepelt a listákon. Az 1990-es évek világszerte legkelendőbb kislemeze lett, több mint hatmillió eladott példányával. ",Vogue a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-05-19"",""Billboard Hot 100 (USA) - 1.,1990. május 19 - 1990. június 9"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/vogue/"",""Official Charts (UK) - 1., 1990. április 7"")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2101"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 4., 1990. április 9. "")",Madonna Vogue videóklip a YouTube oldalán,https://www.youtube.com/watch?v=GuJQSAiODqI,https://youtu.be/GuJQSAiODqI,2019. augusztus 13-án,"100,540,186 megtekintés",384K like,17K dislike,"31,585 komment",Madonna Vogue című dalának című adatai,Vogue,Madonna, I'm Breathless,Pop,1990,"MTV Video Music Awards legjobb operatőr, MTV Video Music Awards legjobb rendező, MTV Video Music Awards szerkesztő, ",Tudj meg még többet Madonna Vogue című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Vogue_(Madonna_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/4217493?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/2JMIfKLVIBC2ecgFhxuT5s"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tzijic7qaufkb2zq47orvlq2y3m?play=1&u=0"",""Google Play"")",Madonna Vogue dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/madonna/vogue.html"",""Madonna Vogue dalszöveg"")"
"=CONCATENATE(Q11, "" - "", R11, "" - "", U11)","A Hold On kislemez 1990 júniusában egy hétig vezette az amerikai Billboard Hot 100-as listát, továbbá az adott év legsikeresebb kislemeze volt az Egyesült Államokban. ","A Hold On Wilson Phillips első számú kislemeze volt,1990. június 9-én elérte a Billboard Hot 100 csúcspontját, annak ellenére, hogy csak egy hetet töltött az első helyen, a Billboard az év legfontosabb dalának minősítette . ",Hold on a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-06-09"",""Billboard Hot 100 (USA) - 1.,1990. június 9 - 1990. június 16"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/hold-on/"",""Official Charts (UK) - 6., 1990. május 26."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2129"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 15., 1990.május 28."")",Wilson Phillips Hold On videóklip a YouTube oldalán,https://www.youtube.com/watch?v=uIbXvaE39wM,https://youtu.be/uIbXvaE39wM,2019. augusztus 14-én,"46,741,253 megtekintés",223K like,"9,5K dislike","12,119 komment",Wilson Phillips Hold on című dalának adatai,Hold on,Wilson Phillips,Wilson Phillips,Pop,1990,"Jelölések: Grammy-díj az Év Dala, Amerikai zenei díj a kedvenc pop / rock kislemezért",Tudj meg még többet Wilson Phillips Hold On című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Hold_On_(Wilson_Phillips_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/3090950?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1Xi55xFMaymXdSWshmxhw2"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tpevnf65wgvwh5dng5l5xp36he4?play=1&u=0"",""Google Play"")",Wilson Phillips  Hold On dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/wilsonphillips/holdon.html"",""Wilson Phillips  Hold On dalszöveg"")"
