h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1990. január 20 - 1990. február 10.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,"17,540,035 megtekintés",Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj - címke 2,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justify My Love - Madonna - 1990,"Madonna Justify My Love című 1990-es dala szexuálisan túlságosan is explicitnek bizonyult, és betiltották az MTV-n. ","Az 1990-es Justify My Love című Madonna dal egyik szerzője Lenny Kravitz volt, a harmadik szerző Ingrid Chavezt viszont nem tüntették fel szerzőként, és emiatt éveken át folyt a pereskedés. A dal klippjét még az MTV se sugározta, mert botrányosan szexuális tartalmúnak gondolták. Valószínűleg minden mai videóklip-készítő ide nyúl ihletért, ha a szexualitást akarja megjeleníteni. ",Justify My Love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-01-05"",""Billboard Hot 100 (USA) - 1., 1991. január 5. - 1991. január 19."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/justify-my-love/"",""Official Charts (UK) - 2., 1990. december 8."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2212"",""Offizielle Deutsche Charts (DE) - "")",Madonna Justify My Love a YouTube oldalán,https://www.youtube.com/watch?v=Np_Y740aReI,https://youtu.be/XS088Opj9o0,2019. augusztus 13-án,"27,318,384 megtekintés",108K like,5.1K dislike,"9,964 komment",Madonna - Justify My Love című dalának adatai,Justify My Love,Madonna,The Immaculate Collection,Pop,1990,-,Tudj meg még többet Madonna Justify My Love című daláról,"=HYPERLINK(""https://hu.wikipedia.org/wiki/Justify_My_Love_(Madonna-dal)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/4209655?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5MzwGwnO9gkh0z6Nl4FF8h"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T3hsywxutgkikmllak36lb4sg2y?play=1&u=0"",""Google Play"")",Madonna Justify My Love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/madonna/justifymylove.html"",""Madonna Justify My Love dalszöveg"")"
Love Will Never Do (Without You) - Janet Jackson - 1990,"Janet Jackson 1990-es Love Will Never Do (Without You) videóklippje igen komoly eredményeket ért el, az 1991-es MTV Díjátadón a Legjobb női videónak választották","Janet Jackson Love Will Never Do (Without You) videóklippje igen komoly eredményeket ért el, az 1991-es MTV Díjátadón a Legjobb női videó lett, és jelölést kapott a Legjobb koreográfiáért és Legjobb művészi rendezésért is. ",Love Will Never Do (Without You) a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-01-19"",""Billboard Hot 100 (USA) - 1., 1991. január 19. - január 26."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/love-will-never-do-(without-you)/"",""Official Charts (UK) - 34., 1990., október 27."")",-,Janet Jackson Love Will Never Do (Without You) a YouTube oldalán,https://www.youtube.com/watch?v=0KCvVsNstjE,https://youtu.be/0KCvVsNstjE,2019. augusztus 13-án,"2,680,319 megtekintés",21K like,726 dislike,"1,786 komment",Janet Jackson Love Will Never Do (Without You) című dalának adatai,Love Will Never Do (Without You),Janet Jackson,Rhythm Nation 1814,Dance-pop,1990,"MTV Video Music Awards - Legjobb női videó, 1991",Tudj meg még többet Janet Jackson Love Will Never Do (Without You) című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Love_Will_Never_Do_(Without_You)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/17685513?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/7jtBAkD6DL5yn7komrFTxE"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tpw74bgikotlgwi2uaelgao3ume?play=1&u=0"",""Google Play"")",Janet Jackson Love Will Never Do (Without You) dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/janetjackson/lovewillneverdowithoutyou.html"",""Janet Jackson Love Will Never Do (Without You) dalszöveg"")"
The First Time - Surface - 1990,A Surface 1990-es The First Time című R&B-száma 2 hétig volt a Billboard Hot 100 legmagasabb fokán.,,A The First Time a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-01-26"",""Billboard Hot 100 (USA) - 1., 1991. január 26. - 1991. február 9."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/the-first-time/"",""Official Charts (UK) - 60., 1991. január 12."")",-,Surface The Frist Time a YouTube oldalán,https://www.youtube.com/watch?v=_Sz2HOAb54w,https://youtu.be/_Sz2HOAb54w,2019. augusztus 24-én,"3,023,915 megtekintés",18K like,724 dislike,"1,067 komment",A Surface The First Time című dalának adatai,The First Time,Surface,3 Deep,R&B,1990,-,Tudj meg még többet a Surface The First Time című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/The_First_Time_(Surface_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/15614050?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/7xc458qB6WtWcmZt0CqWXk"",""Spotify"")","=HYPERLINK(""https://play.google.com/store/search?q=Surface%20The%20First%20Time"",""Google Play"")",Surface The First Time dalszöveg,"=HYPERLINK(""https://lyrics.az/surface/3-deep/the-first-time.html"",""Surface The Frist Time dalszöveg"")"
Gonna Make You Sweat (Everybody Dance Now) - C+C Music Factory - 1990,"A C+C Music Factory slágere, a Gonna Make You Sweat (Everybody Dance Now) volt az 1990-es év egyik legnagyobb dobása a popzenében.Számomra ez a szám mindent megtestesít, ami a 90-es éveket jellemezte, és mégis, egy időtálló darabról van szó!  ","Habár a C+C Music Factory a a Gonna Make You Sweat (Everybody Dance Now) című slágerével a díjátadókon nem sok vizet zavart, a dance kultúrára egészen elképesztő hatással volt, a 2000-es években például nem csak minden idők legjobb dance számai közé válogatták be, de a legjobb 90-es évek dalai listájára is felkerült. ",A Gonna Make You Sweat (Everybody Dance Now) a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-02-09"",""Billboard Hot 100 (USA) - 1., 1991. február 9. 1991. február 23."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/gonna-make-you-sweat-ft-freedom-williams/"",""Official Charts (UK) - 3., 1990. december 12,"")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2218"",""Offizielle Deutsche Charts (DE) - 1., 1991. június 3."")",C+C Music Factory A Gonna Make You Sweat (Everybody Dance Now) a YouTube oldalán,https://www.youtube.com/watch?v=LaTGrV58wec,https://youtu.be/LaTGrV58wec,2019. augusztus 24-én,"44,421,109 megtekintés",229K like,8K dislike,"6,938 komment",A C+C Music Factory Gonna Make You Sweat (Everybody Dance Now) című dalának adatai,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,Gonna Make You Sweat,Dance-pop,1990,- ,Tudj meg még többet a C+C Music Factory Gonna Make You Sweat (Everybody Dance Now) című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Gonna_Make_You_Sweat_(Everybody_Dance_Now)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/15593926?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5obiQeM3NZ4NMsoeVxNDxw"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tqtd5pewceixiyminu6osaecz7y?play=1&u=0"",""Google Play"")",C+C Music Factory Gonna Make You Sweat (Everybody Dance Now) dalszöveg,"=HYPERLINK(""https://lyrics.az/c-c-music-factory/-/gonna-make-you-sweat.html"",""C+C Music Factory Gonna Make You Sweat (Everybody Dance Now) dalszöveg"")"
All the Man That I Need - Whitney Houston - 1989,"Az All the Man That I Need Whitney Houston negyedik legsikeresebb számának tekinthető, ha a zenei listákon való szereplését tekintjük.","Az All the Man That I Need eredetileg 1980-ban írták, de akkoriban nem lett túl nagy visszhangja, csak Whitney Houston előadása vitte sikerre ezt az R&B-dalt. ",All the Man That I Need a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-02-23"",""Billboard Hot 100 (USA) - 1., 1991. február 23. - 1991. március 9."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/all-the-man-that-i-need/"",""Official Charts (UK) - 13., 1990. devember 22."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2228"",""Offizielle Deutsche Charts (DE) - 37., 1991. május 20."")",Whitney Houston All the Man That I Need a YouTube oldalán,https://www.youtube.com/watch?v=3WH1Ma50QUk,https://youtu.be/3WH1Ma50QUk,2019. augusztus 25-én,"49,728,805 megtekintés",175K like,6.5K dislike,"10,828 komment",Whitney Houston All The Man That I Need című dalának adatai,All the Man That I Need,Whitney Houston,I'm Your Baby Tonight,R&B,1990,"American Music Awards - Kedvenc dance kislemez kategória, 1992",Tudj meg még többet Whitney Houston All the Man That I Need című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/All_the_Man_That_I_Need"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/88897359?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/track/07M76e7IXxYdnC1BBiJxEX?autoplay=true&v=T"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T742sfdoexig2xd2z6sjc4ot26q?play=1&u=0"",""Google Play"")",Whitney Houston All the Man That I Need dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/whitneyhouston/allthemanthatineed.html"",""Whitney Houston All the Man That I Need dalszöveg"")"
Someday - Mariah Carey - 1990,Mariah Carey debütáló albumának egyik dala 1990-ből.,"Mariah Carey azonos című albumának 4. dala, amelynek videóklipjében a saját fiatalkori éveihez kalauzolja el a nézőt. A dalnak van egy MTV Unplugged verziója is. Minden komolyabb nemzetközi zenei listán komoly helyezéseket ért el.",Someday a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-03-09"",""Billboard Hot 100 (USA) - 1.,"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/someday/"",""Official Charts (UK) - 38., 1991. január 26."")",-,Mariah Carey Someday a YouTube oldalán,https://www.youtube.com/watch?v=4RWfSUWVP2I,https://youtu.be/4RWfSUWVP2I,2019. augusztus 25-én,"5,160,984 megtekintés",28K like,848 dislike,"2,452 komment",Mariah Carey Someday című dalának adatai,Someday,Mariah Carey,Mariah Carey,R&B,1990,"Jelölték az American Music Awards - Kedvenc dance kislemez kategóriában, 1992",Tudj meg még többet Mariah Carey Someday című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Someday_(Mariah_Carey_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/15178574?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5SwNGsGw1I8H361DKiYnnn"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tmyoilzvsupn3nqgsn2q555vmdy?play=1&u=0"",""Google Play"")",Mariah Carey Someday dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/mariahcarey/someday.html"",""Mariah Carey Someday dalszöveg"")"
One More Try - Timmy T - 1990,"Timmy T One More Try című dalát egy valódi szerelmi bánat ihlette, Amerikában több mint 1 millió példányban adták el a kislemezt. ","A One More Try Timmy T egyik legismertebb dala, amely egy megtörtént szerelmi szakításnak állít emléket. A videóklippet Hollywoodban forgatták. ",One More Try a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-03-23"",""Billboard Hot 100 (USA) - 1., 1991. március 23. - március 30."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/one-more-try/"",""Official Charts (UK) - 97., 1991. március 16,"")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2250"",""Offizielle Deutsche Charts (DE) - 8. 1991. április 15."")",Timmy T One More Try a YouTube oldalán,https://www.youtube.com/watch?v=hcEaUJoo0NE,https://youtu.be/hcEaUJoo0NE,2019. augusztus 25-én,"4,816,690 megtekintés",38K like,1.2K dislike,"2,019 komment",Timmy T One More Try című dalának adatai,One More Try,Timmy T,Time After Time,Pop,1990,-,Tudj meg még többet Timmy T One More Try című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/One_More_Try_(Timmy_T_song)"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/95994204?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3K5cXDgYieLapbixc9H9VJ"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tb6hvjnh5i4terdoer5r5brhft4?play=1&u=0"",""Google Play"")",Timmy T One More Try dalszöveg,"=HYPERLINK(""https://lyrics.az/timmy-t/time-after-time/one-more-try.html"",""Timmy T One More Try dalszöveg"")"
Coming out of the Dark - Gloria Estefan,"Gloria Estefan Coming Out of the Dark című dala volt az első, amelyet súlyos buszbalesete után vettek föl, Amerikában és Kanadában is óriási sikert aratott.","A Coming Out of the Dark sooulos balladát az énekesnő férjének, Emilio Estefannak dedikált, miután felépült súlyos buszbalesete után, amely akkori koncertturnéja közben történt, és amely csaknem végzetesnek bizonyult. ",Coming Out of the Dark a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-03-30"",""Billboard Hot 100 (USA) - 1., 1991. március 30 - április 13."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/coming-out-of-the-dark/"",""Official Charts (UK) - 25., 1991. január 26."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2238"",""Offizielle Deutsche Charts (DE) - 45., 1991. február 18."")",Gloria Estefan Coming Out of the Dark a YouTube oldalán,https://www.youtube.com/watch?v=QS7qLDizDYo,https://youtu.be/QS7qLDizDYo,2019. augusztus 25-én,"748,862 megtekintés",5K like,219 dislike,293 kommnet,Gloria Estefan Coming Out of the Dark című dalának adatai,Coming Out of the Dark,Gloria Estefan,Into the Light,Pop,1991,,Tudj meg még többet Gloria Estefan Coming Out of the Dark című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Coming_Out_of_the_Dark"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/565090?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1Hx9JuA0e9dAm5z6f0oNE6"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T5rogbmaqwnzrrlic63aovcjwba?play=1&u=0"",""Google Play"")",Gloria Estefan Coming Out of the Dark dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/gloriaestefan/comingoutofthedark.html"",""Gloria Estefan Coming Out of the Dark dalszöveg"")"
I've Been Thinking About You - Londonbeat - 1990,A Londonbeat 1990-es I've Been Thinking About You száma komoly nemzetközi sikereket ért el.,"A Londonbeat I've Been Thinking About You című száma egyike a legikonikusabb 90-es évekbeli popszámoknak - nem csak a zenéről, hanem a videóklippről is azonnal megállapítható, melyik évtizedben született. ",I've Been Thinking About You a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1991-04-13"",""Billboard Hot 100 (USA) - 1., 1991. április 13. - április 20."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/i've-been-thinking-about-you/"",""Official Charts (UK) - 2., 1990. január 9. "")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2183"",""Offizielle Deutsche Charts (DE) - 1., 1990. szeptember 24."")",Londonbeat I've Been Thinking About You a YouTube oldalán,https://www.youtube.com/watch?v=dGw3w_njQ4g,https://youtu.be/dGw3w_njQ4g,2019. augusztus 25-én,"29,180,478 megtekintés",161K like,5.5K dislike,"5, 907 komment",Londonbeat I've Been Thinking About You című dalának adatai,I've Been Thinking About You,Londonbeat,In the Blood,Pop,1990,-,Tudj meg még többet a Londonbeat I've Been Thinking About You című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/I%27ve_Been_Thinking_About_You"",""Wikipedia "")","=HYPERLINK(""https://www.deezer.com/hu/track/605962?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3zsZeS3xAnlvA25CKM8rKs"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Th7ezla6mo66yxuiqnkfvedruuq?play=1&u=0"",""Google Play"")",Londonbeat I've Been Thinking About You dalszöveg,"=HYPERLINK(""https://genius.com/London-beat-ive-been-thinking-about-you-lyrics"",""Londonbeat I've Been Thinking About You dalszöveg"")"
